attack,epsilon,source_clean_accuracy,target_clean_accuracy,source_adv_accuracy,target_adv_accuracy,source_accuracy_drop,target_accuracy_drop,source_asr,transfer_asr,mean_l2,mean_linf,time_s,setting,source_model,target_model
FGSM,0.0005,0.9118236472945892,0.9308617234468938,0.8096192384769539,0.9258517034068137,0.10220440881763526,0.00501002004008011,0.11208791208791209,0.0011350737797956867,0.1894830333923768,0.000500023365020752,1.399878978729248,black-box transfer,ResNet18,MobileNetV2
FGSM,0.001,0.9118236472945892,0.9308617234468938,0.6893787575150301,0.9228456913827655,0.22244488977955912,0.008016032064128265,0.24395604395604395,0.00340522133938706,0.37895469292849004,0.0010000020265579224,0.9342555999755859,black-box transfer,ResNet18,MobileNetV2
FGSM,0.003,0.9118236472945892,0.9308617234468938,0.35971943887775554,0.906813627254509,0.5521042084168337,0.024048096192384794,0.6054945054945055,0.015891032917139614,1.1368784464910657,0.003000020980834961,1.3660674095153809,black-box transfer,ResNet18,MobileNetV2
FGSM,0.005,0.9118236472945892,0.9308617234468938,0.23947895791583165,0.8817635270541082,0.6723446893787576,0.049098196392785565,0.7373626373626374,0.03745743473325766,1.8904913823924705,0.005000025033950806,0.9697291851043701,black-box transfer,ResNet18,MobileNetV2
FGSM,0.01,0.9118236472945892,0.9308617234468938,0.14428857715430862,0.8236472945891784,0.7675350701402806,0.10721442885771537,0.8417582417582418,0.08740068104426787,3.7652942355505687,0.010000020265579224,1.423454761505127,black-box transfer,ResNet18,MobileNetV2
