epsilon,accuracy,accuracy_adv,accuracy_drop,asr,time_s
0.0005,0.9118236472945892,0.8096192384769539,0.10220440881763526,0.11208791208791209,2.150803565979004
0.001,0.9118236472945892,0.6893787575150301,0.22244488977955912,0.24395604395604395,0.9439413547515869
0.003,0.9118236472945892,0.35971943887775554,0.5521042084168337,0.6054945054945055,2.08683705329895
0.005,0.9118236472945892,0.23947895791583165,0.6723446893787576,0.7373626373626374,0.9343934059143066
0.01,0.9118236472945892,0.14428857715430862,0.7675350701402806,0.8417582417582418,1.768679141998291
