model,overshoot_training,overshoot_attack,accuracy_clean,accuracy_adversarial,accuracy_drop,asr,mean_l2_all,mean_l2_clean_correct,mean_l2_successful
Originale,,0.02,0.9118236472945892,0.07414829659318638,0.8376753507014029,0.9714285714285714,0.40623794672245495,0.43658547349028537,0.44408294518069447
Adversarial Training DeepFool,0.02,0.02,0.8997995991983968,0.06713426853707415,0.8326653306613226,1.0,3.5492387496397826,3.8468105702729427,3.8468105702729427
