attack,epsilon,max_queries,accuracy,accuracy_adv,asr,mean_l2,mean_linf,mean_queries,time_s,accuracy_drop
Square Attack,0.0005,500,0.9118236472945892,0.9118236472945892,0.0,0.18954529,0.00050002337,499.4758241758242,53.967299699783325,0.0
Square Attack,0.001,500,0.9118236472945892,0.9098196392785571,0.002197802197802198,0.37897748,0.001000002,498.6703296703297,53.92691493034363,0.002004008016032066
Square Attack,0.003,500,0.9118236472945892,0.9008016032064128,0.012087912087912088,1.13713,0.003000021,495.7967032967033,53.76332378387451,0.01102204408817642
Square Attack,0.005,500,0.9118236472945892,0.8877755511022044,0.026373626373626374,1.890513,0.005000025,490.40879120879123,53.8094367980957,0.024048096192384794
Square Attack,0.01,500,0.9118236472945892,0.8567134268537074,0.06043956043956044,3.7661428,0.01000002,479.09120879120877,52.40612316131592,0.05511022044088176
