class,precision,recall,support
Apple,0.8632075471698113,0.9195979899497487,199
Banana,0.9526315789473684,0.9095477386934674,199
Grape,0.9682539682539683,0.915,200
Mango,0.9261083743842364,0.94,200
Strawberry,0.9313725490196079,0.95,200
