epsilon,accuracy,accuracy_adv,accuracy_drop,asr,time_s
0.0005,0.9118236472945892,0.7865731462925851,0.12525050100200408,0.13736263736263737,5.227514028549194
0.001,0.9118236472945892,0.6022044088176353,0.30961923847695394,0.3395604395604396,3.7069108486175537
0.003,0.9118236472945892,0.09619238476953908,0.8156312625250501,0.8945054945054945,5.192598342895508
0.005,0.9118236472945892,0.012024048096192385,0.8997995991983968,0.9868131868131869,3.7197327613830566
0.01,0.9118236472945892,0.0,0.9118236472945892,1.0,5.23052453994751
